road_id,risk_score,predicted_disruption
way/1140719458,6.92,0
way/1140719459,6.92,0
way/1140719460,5.21,0
way/1140719461,6.92,0
way/1140719462,5.21,0
way/1140719463,6.92,0
way/1140719945,6.92,0
way/1140764373,37.51,1
way/1140764374,32.49,0
way/1140764375,35.69,1
way/1140764376,5.21,0
way/1140794599,5.21,0
way/1140794600,5.21,0
way/1140799881,5.21,0
way/1140799883,5.21,0
way/1140799884,5.21,0
way/1140799885,41.37,1
way/1140799886,5.21,0
way/1140831183,5.21,0
way/1140854313,5.21,0
way/1140854314,37.28,1
way/1140908110,5.21,0
way/1141042992,52.92,1
way/1141042993,28.74,0
way/1141059599,5.21,0
way/1141059600,5.21,0
way/1141065212,30.57,0
way/1141065213,42.68,1
way/1141068041,5.21,0
way/1141851188,37.28,1
way/1141851189,15.39,0
way/1141857183,37.28,1
way/1141857184,5.21,0
way/1141857185,5.21,0
way/1141885206,5.21,0
way/1141885207,25.34,0
way/1141885755,5.21,0
way/1141885756,20.99,0
way/1141885757,5.21,0
way/1141885758,24.31,0
way/1142036316,42.68,1
way/1142036317,37.51,1
way/1142104187,48.02,1
way/1142114093,20.24,0
way/1142114729,5.21,0
way/1142114730,5.21,0
way/1142114917,5.21,0
way/1142114918,5.21,0
way/1142114919,19.6,0
way/1142114920,19.6,0
way/1142424180,6.92,0
way/1142424181,6.92,0
way/1144568726,25.34,0
way/1144580651,32.48,0
way/1144580652,24.56,0
way/1144580653,32.48,0
way/1144580654,34.41,0
way/1144654341,5.21,0
way/1144654342,5.21,0
way/1144654344,5.21,0
way/1144660988,38.02,1
way/1144660989,33.86,0
way/1144676563,5.21,0
way/1144677163,5.21,0
way/1144942346,47.94,1
way/1144942347,22.49,0
way/1144942348,44.09,1
way/1154031784,5.21,0
way/1156261167,5.21,0
way/1180151100,19.02,0
way/1180151217,42.68,1
way/1180151218,27.9,0
way/1180151506,31.25,0
way/1180151507,45.1,1
way/1189277617,29.0,0
way/1190512285,5.21,0
way/1190512286,5.21,0
way/1190808120,27.9,0
way/1193729434,68.22,1
way/1199467421,48.04,1
way/1200772287,47.94,1
way/1204084579,27.9,0
way/1204084580,27.9,0
way/1204084581,11.48,0
way/1204084582,5.21,0
way/1209648724,29.82,0
way/1210473142,46.77,1
way/1210473143,46.77,1
way/1211521032,5.21,0
way/1211537585,39.33,1
way/1211537586,27.9,0
way/1214448839,24.31,0
way/1216161241,5.21,0
way/1218448726,41.37,1
way/1224696303,5.21,0
way/1225015801,74.89,1
way/1234807535,5.21,0
way/1238593177,47.94,1
way/1244284016,5.21,0
way/1246237801,19.02,0
way/1254970067,5.21,0
way/1254970073,5.21,0
way/1254970074,29.59,0
way/1254970083,42.68,1
way/1254970084,38.02,1
way/1255710656,5.21,0
way/1255710659,6.92,0
way/1255710660,41.37,1
way/1257321454,33.68,0
way/1258150362,5.21,0
way/1258475234,33.68,0
way/1266648458,33.68,0
way/1266648607,33.68,0
way/1266764608,33.68,0
way/1266764609,30.09,0
way/1266775599,21.88,0
way/1266775600,22.64,0
way/1266775601,5.21,0
way/1266775602,5.21,0
way/1266997776,5.21,0
way/1266997777,5.21,0
way/1266997778,33.68,0
way/1266997779,33.68,0
way/1266997780,29.86,0
way/1266997782,29.86,0
way/1266997783,5.21,0
way/1266997784,5.21,0
way/1267001373,57.65,1
way/1267009904,76.89,1
way/1267009905,87.35,1
way/1267016276,5.21,0
way/1267016629,20.1,0
